Komponente,Grˆﬂe,Einheit,2020,2025,2030,2035,2040,2045,2050
CH4-Brennstoffzelle NT,M/O-Kosten,% Invest,3.6,3.4,3.3,3.3,3.3,3.3,3.3
CH4-Brennstoffzelle NT,Wirkungsgrad el.,%,53.5,53.9,54.3,54.8,55.2,55.6,56.0
CH4-Brennstoffzelle NT,Wirkungsgrad th.,%,33.0,33.0,34.0,34.0,34.0,34.0,34.0
Elektrische W‰rmepumpe (W‰rmequelle: Erdreich) HT,Investition,EUR/kWth,1822,1732,1642,1550,1458,1368,1278
Elektrische W‰rmepumpe (W‰rmequelle: Erdreich) HT,Lebensdauer,a,20,20,20,20,20,20,20
Elektrische W‰rmepumpe (W‰rmequelle: Erdreich) HT,M/O-Kosten,% Invest,1.3,1.1,1.0,1.0,1.0,1.0,1.0
Elektrische W‰rmepumpe (W‰rmequelle: Auﬂenluft) HT,Investition,EUR/kWth,990,943,897,847,798,751,704
Elektrische W‰rmepumpe (W‰rmequelle: Auﬂenluft) HT,Lebensdauer,a,20,20,20,20,20,20,20
Elektrische W‰rmepumpe (W‰rmequelle: Auﬂenluft) HT,M/O-Kosten,% Invest,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Hybride W‰rmepumpe (el. WP und Gaskessel, Auﬂenluft) HT",Investition,EUR/kWth,1097,1049,1003,954,904,858,811
"Hybride W‰rmepumpe (el. WP und Gaskessel, Auﬂenluft) HT",Lebensdauer,a,20,20,20,20,20,20,20
"Hybride W‰rmepumpe (el. WP und Gaskessel, Auﬂenluft) HT",M/O-Kosten,% Invest,3.0,3.0,3.0,3.0,3.0,3.0,3.0
H2-Brennstoffzelle f¸r Strom&W‰rme im Einzelgeb‰ude <100 kWel,Investition,EUR/kWel,8285,3903,2072,1455,1308,1289,1289
H2-Brennstoffzelle f¸r Strom&W‰rme im Einzelgeb‰ude <100 kWel,Lebensdauer,a,10,10,10,10,10,10,10
H2-Brennstoffzelle f¸r Strom&W‰rme im Einzelgeb‰ude <100 kWel,M/O-Kosten,% Invest,3.0,3.0,3.0,3.0,3.0,3.0,3.0
HT,Wirkungsgrad el.,%,55.1,56.9,58.7,60.5,62.3,64.1,65.9
HT,Wirkungsgrad th.,%,39.9,38.1,36.3,34.5,32.7,30.9,29.1
CH4-Brennstoffzelle HT,Investition,EUR/kWel,7826,3724,2071,1543,1429,1418,1418
CH4-Brennstoffzelle HT,Lebensdauer,a,17,20,20,20,20,20,10
CH4-Brennstoffzelle HT,M/O-Kosten,% Invest,3.5,3.4,3.3,3.3,3.3,3.3,3.0
CH4-Brennstoffzelle HT,Wirkungsgrad el.,%,46.8,48.4,49.9,51.4,52.9,54.5,56.0
CH4-Brennstoffzelle HT,Wirkungsgrad th.,%,39.0,38.2,37.3,36.5,35.7,34.8,34.0
Solarthermiekollektoren (Aufdachanlagen) NT/HT,Investition,EUR/m2,550,475,400,375,350,330,310
Solarthermiekollektoren (Aufdachanlagen) NT/HT,Lebensdauer,a,25,25,25,25,25,25,25
Solarthermiekollektoren (Aufdachanlagen) NT/HT,M/O-Kosten,% Invest,1.2,1.2,1.2,1.2,1.2,1.2,1.2
W‰rmespeicher (Wasser)  - in Einzelgeb‰uden,Investition,EUR/l,1,1,1,1,1,1,1
W‰rmespeicher (Wasser)  - in Einzelgeb‰uden,Lebensdauer,a,20,20,20,20,20,20,20
W‰rmespeicher (Wasser)  - in Einzelgeb‰uden,M/O-Kosten,% Invest,1.3,1.3,1.3,1.3,1.3,1.3,1.3
Geb‰udesanierung EnEV2015 -25% (Bezeichnung:,Investition,EUR/m2,102,102,102,102,102,102,102
Geb‰udesanierung EnEV2015 -25% (Bezeichnung:,Lebensdauer,a,50,50,50,50,50,50,50
Geb‰udesanierung EnEV2015 -25% (Bezeichnung:,M/O-Kosten,% Invest,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"""vollsaniert"") Geb‰udesanierung ""Passivhaus"" (Bezeichnung:",Investition,EUR/m2,180,180,180,180,180,180,180
"""vollsaniert"") Geb‰udesanierung ""Passivhaus"" (Bezeichnung:",Lebensdauer,a,50,50,50,50,50,50,50
"""vollsaniert"") Geb‰udesanierung ""Passivhaus"" (Bezeichnung:",M/O-Kosten,% Invest,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"""vollsaniert+"") Absenkung der Vorlauftemperatur in Wohngeb‰uden (z.B. durch",Investition,EUR/m2,60,60,60,60,60,60,60
"""vollsaniert+"") Absenkung der Vorlauftemperatur in Wohngeb‰uden (z.B. durch",Lebensdauer,a,50,50,50,50,50,50,50
"""vollsaniert+"") Absenkung der Vorlauftemperatur in Wohngeb‰uden (z.B. durch",M/O-Kosten,% Invest,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Holz- und holzartige Biomasse zu CH4 (Vergasung mit anschl.,Investition,EUR/kWth,2561,2198,1955,1808,1732,1704,1700
Holz- und holzartige Biomasse zu CH4 (Vergasung mit anschl.,Lebensdauer,a,20,20,20,20,20,20,20
Holz- und holzartige Biomasse zu CH4 (Vergasung mit anschl.,M/O-Kosten,% Invest,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Synthetisierung),Wirkungsgrad,%,55.0,55.0,55.0,55.0,55.0,55.0,55.0
Holz- und holzartige Biomasse zu H2 (Vergasung mit anschl.,Investition,EUR/kWth,1874,1609,1431,1323,1267,1247,1244
Holz- und holzartige Biomasse zu H2 (Vergasung mit anschl.,Lebensdauer,a,20,20,20,20,20,20,20
Holz- und holzartige Biomasse zu H2 (Vergasung mit anschl.,M/O-Kosten,% Invest,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Synthetisierung),Wirkungsgrad,%,61.0,61.0,61.0,61.0,61.0,61.0,61.0
Holz- und holzartige Biomasse zu fl¸ssigen Kraftstoffen (Vergasung,Investition,EUR/kWth,2835,2434,2164,2001,1917,1886,1882
Holz- und holzartige Biomasse zu fl¸ssigen Kraftstoffen (Vergasung,Lebensdauer,a,20,20,20,20,20,20,20
Holz- und holzartige Biomasse zu fl¸ssigen Kraftstoffen (Vergasung,M/O-Kosten,% Invest,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mit anschl. Synthetisierung) Biodieselanlage (Raps zu Biodiesel),Wirkungsgrad,%,46.0,46.0,46.0,46.0,46.0,46.0,46.0
mit anschl. Synthetisierung) Biodieselanlage (Raps zu Biodiesel),Investition,EUR/kWth,150,150,150,150,150,150,150
mit anschl. Synthetisierung) Biodieselanlage (Raps zu Biodiesel),Lebensdauer,a,20,20,20,20,20,20,20
mit anschl. Synthetisierung) Biodieselanlage (Raps zu Biodiesel),M/O-Kosten,% Invest,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mit anschl. Synthetisierung) Biodieselanlage (Raps zu Biodiesel),Wirkungsgrad,%,60.0,60.0,60.0,60.0,60.0,60.0,60.0
Biogasanlage (Rohstoff Biogas - ohne BHKW)*,Investition,EUR/kWBiogas,965,852,776,731,707,698,697
Biogasanlage (Rohstoff Biogas - ohne BHKW)*,Lebensdauer,a,20,20,20,20,20,20,20
Biogasanlage (Rohstoff Biogas - ohne BHKW)*,M/O-Kosten,% Invest,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Biogas Aufbereitung (CO2- Abscheidung -> Bio-Erdgas),Investition,EUR/kWhGas,538.5,412.7,328.4,277.3,251.1,241.4,240.0
Biogas Aufbereitung (CO2- Abscheidung -> Bio-Erdgas),Lebensdauer,a,25,25,25,25,25,25,25
Biogas Aufbereitung (CO2- Abscheidung -> Bio-Erdgas),M/O-Kosten,% Invest,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Biogas Aufbereitung (CO2- Abscheidung -> Bio-Erdgas),Wirkungsgrad,%,88.0,88.0,88.0,88.0,88.0,88.0,88.0
BHKW < 0.5 MW (Biogas- Direktverstromung),Investition,EUR/kWel,556,541,528,517,509,503,500
BHKW < 0.5 MW (Biogas- Direktverstromung),Lebensdauer,a,20,20,20,20,20,20,20
BHKW < 0.5 MW (Biogas- Direktverstromung),M/O-Kosten,% Invest,2.5,2.5,2.5,2.5,2.5,2.5,2.5
BHKW < 0.5 MW (Biogas- Direktverstromung),Wirkungsgrad,%,25.0,25.0,25.0,25.0,25.0,25.0,25.0
PKW ICE- Fl¸ssigtreibstoff,Investition,EUR/PKW,23561,24309,24999,25622,26167,26610,26880
PKW ICE- Fl¸ssigtreibstoff,Lebensdauer,a,15,15,15,15,15,15,15
PKW ICE- Fl¸ssigtreibstoff,M/O-Kosten,% Invest,1.6,1.6,1.6,1.6,1.6,1.6,1.6
PKW ICE- Fl¸ssigtreibstoff,Wirkungsgrad*,%,21.5,21.5,21.5,21.5,21.5,21.5,21.5
PKW ICE Gas,Investition,EUR/PKW,25041,25468,25912,26377,26864,27383,27952
PKW ICE Gas,Lebensdauer,a,15,15,15,15,15,15,15
PKW ICE Gas,M/O-Kosten,% Invest,1.4,1.4,1.4,1.4,1.4,1.4,1.4
PKW ICE Gas,Wirkungsgrad*,%,21.5,21.5,21.5,21.5,21.5,21.5,21.5
PKW H2- Brennstoffzelle,Investition,EUR/PKW,55000,43500,33226,30720,29440,28160,26880
PKW H2- Brennstoffzelle,Lebensdauer,a,15,15,15,15,15,15,15
PKW H2- Brennstoffzelle,M/O-Kosten,% Invest,1.1,1.1,1.1,1.1,1.2,1.2,1.2
PKW H2- Brennstoffzelle,Wirkungsgrad*,%,48.0,48.0,48.0,48.0,48.0,48.0,48.0
PKW Hybrid H2- Brennstoffzelle /,Investition,EUR/PKW,49375,42760,35000,33130,31260,30462,29665
PKW Hybrid H2- Brennstoffzelle /,Lebensdauer,a,15,15,15,15,15,15,15
Batterie,M/O-Kosten,% Invest,1.1,1.1,1.1,1.1,1.2,1.2,1.2
Batterie,Wirkungsgrad*,%,56.0,56.0,56.0,56.0,56.0,56.0,56.0
Batterie,Anteil Batterie,%,40,40,40,40,40,40,40
Batterie,Batteriekapazit‰t,kWh,12.5,20,20,20,20,20,20
Batterie,Wirkungsgrad,%,74.1,74.1,74.1,74.1,74.1,74.1,74.1
PKW Hybrid ICE Fl¸ssigtreibstoff /,Investition,EUR/PKW,31832,31651,30350,30198,30046,30499,30952
PKW Hybrid ICE Fl¸ssigtreibstoff /,Lebensdauer,a,15,15,15,15,15,15,15
Batterie,M/O-Kosten,% Invest,1.3,1.3,1.3,1.3,1.3,1.3,1.3
Batterie,Wirkungsgrad*,%,27.4,27.8,27.8,27.8,27.8,27.8,27.8
Batterie,Anteil Batterie,%,40.0,40.0,40.0,40.0,40.0,40.0,40.0
Batterie,Batteriekapazit‰t,kWh,12.5,20,20,20,20,20,20
Batterie,Wirkungsgrad,%,74.1,74.1,74.1,74.1,74.1,74.1,74.1
PKW Hybrid ICE Gas / Batterie,Investition,EUR/PKW,34129,33982,32690,32527,32364,32808,33252
PKW Hybrid ICE Gas / Batterie,Lebensdauer,a,15,15,15,15,15,15,15
PKW Batterie-,Investition Lebensdauer M/O-Kosten Wirkungsgrad* Anteil Batterie Fahrleistung Batteriekapazit‰t Wirkungsgrad,EUR/PKW,33000,28812,24624,24358,24092,23827,23561
Elektromotor,Investition Lebensdauer M/O-Kosten Wirkungsgrad* Anteil Batterie Fahrleistung Batteriekapazit‰t Wirkungsgrad,a,15,15,15,15,15,15,15
LKW ICE- Fl¸ssigtreibstoff,Investition,EUR/LKW,99772,102543,105315,108086,110858,113629,116401
LKW ICE- Fl¸ssigtreibstoff,Lebensdauer,a,15,15,15,15,15,15,15
LKW ICE- Fl¸ssigtreibstoff,M/O-Kosten,% Invest,18.0,17.5,17.1,16.6,16.2,15.8,15.5
LKW ICE- Fl¸ssigtreibstoff,Wirkungsgrad*,%,37.3,37.3,37.3,37.3,37.3,37.3,37.3
LKW ICE Gas,Investition,EUR/LKW,107771,109476,111301,113260,115367,117652,120183
LKW ICE Gas,Lebensdauer,a,15,15,15,15,15,15,15
LKW ICE Gas,M/O-Kosten,% Invest,16.7,16.4,16.2,15.9,15.6,15.3,15.0
LKW ICE Gas,Wirkungsgrad*,%,30.1,30.1,30.1,30.1,30.1,30.1,30.1
LKW H2- Brennstoffzelle,Investition,EUR/LKW,151574,122291,116497,117600,120177,122939,125710
LKW H2- Brennstoffzelle,Lebensdauer,a,15,15,15,15,15,15,15
LKW H2- Brennstoffzelle,M/O-Kosten,% Invest,10.1,12.5,13.1,13.0,12.7,12.4,12.2
LKW H2- Brennstoffzelle,Wirkungsgrad*,%,56,56,56,56,56,56,56
LKW Hybrid H2- Brennstoffzelle /,Investition,EUR/LKW,165674,132399,124847,126262,127677,129994,132310
LKW Hybrid H2- Brennstoffzelle /,Lebensdauer,a,15,15,15,15,15,15,15
Batterie,M/O-Kosten,% Invest,9.2,11.5,12.2,12.1,12.0,11.8,11.5
Batterie,Wirkungsgrad*,%,56.0,56.0,56.0,56.0,56.0,56.0,56.0
Batterie,Anteil Batterie,%,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Batterie,Batteriekapazit‰t,kWh,50,50,50,50,50,50,50
Batterie,Wirkungsgrad,%,74.1,74.1,74.1,74.1,74.1,74.1,74.1
LKW Hybrid ICE Fl¸ssigtreibstoff /,Investition,EUR/LKW,124728,121279,119580,119395,120463,122492,125123
LKW Hybrid ICE Fl¸ssigtreibstoff /,Lebensdauer,a,15,15,15,15,15,15,15
Batterie,M/O-Kosten,% Invest,14.4,14.8,15.0,15.1,14.9,14.7,14.4
Batterie,Wirkungsgrad*,%,37.3,37.3,37.3,37.3,37.3,37.3,37.3
Batterie,Anteil Batterie,%,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Batterie,Batteriekapazit‰t,kWh,50,50,50,50,50,50,50
Batterie,Wirkungsgrad,%,74.1,74.1,74.1,74.1,74.1,74.1,74.1
LKW Hybrid ICE Gas/Batterie,Investition,EUR/LKW,133788,130476,128831,128645,129684,131682,134301
LKW Hybrid ICE Gas/Batterie,Lebensdauer,a,15,15,15,15,15,15,15
LKW Batterie-,Investition Lebensdauer M/O-Kosten Wirkungsgrad* Anteil Batterie Fahrleistung Batteriekapazit‰t Wirkungsgrad,EUR/LKW,204067,165765,136400,134700,133000,131200,129400
Elektromotor,Investition Lebensdauer M/O-Kosten Wirkungsgrad* Anteil Batterie Fahrleistung Batteriekapazit‰t Wirkungsgrad,a,15,15,15,15,15,15,15
Ladeinfrastruktur langsam (reine) Batteriefahrzeuge*,Investition,EUR/Lades‰ule,1283,1126,1005,1005,1005,1005,1005
