technology,parameter,2015,2020,2025,2030,2035,2040,2045,2050,unit,source
Battery PV prosumer - residential storage,FOM,6.0,3.34,2.75,2.78,2.76,2.74,2.74,2.7,%/year,  
Battery PV prosumer - residential storage,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,el)",  
Battery PV prosumer - residential storage,investment,603.0,407.0,280.0,209.0,170.0,146.0,124.0,111.0,"EUR/kWh,el",Unnamed: 0 Unnamed: 1 Unnamed: 2
Battery PV prosumer - residential storage,lifetime,15.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,years,  
Battery interface,FOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,%/year, 
Battery interface,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,el)", 
Battery interface,investment,200.0,135.0,91.0,67.0,54.0,46.0,39.0,35.0,"EUR/kW,el", 
Battery interface,lifetime,15.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,years, 
Battery storage,FOM,6.0,3.33,2.75,2.8,2.78,2.72,2.72,2.68,%/year,[ ]
Battery storage,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,el)", 
Battery storage,investment,400.0,270.0,182.0,134.0,108.0,92.0,78.0,70.0,"EUR/kWh,el", 
Battery storage,lifetime,15.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,years, 
Biogas digester,FOM,3.99,3.99,3.99,4.0,4.0,4.0,3.99,4.01,%/year,
Biogas digester,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,th)",
Biogas digester,investment,771.0,731.0,706.0,680.0,653.0,632.0,609.0,589.0,"EUR/kW,th",
Biogas digester,lifetime,20.0,20.0,20.0,20.0,25.0,25.0,25.0,25.0,years,
Biogas upgrade,FOM,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,%/year,
Biogas upgrade,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,th)",[ ]
Biogas upgrade,investment,340.0,290.0,270.0,250.0,230.0,220.0,210.0,200.0,"EUR/kW,th",
Biogas upgrade,lifetime,20.0,20.0,20.0,20.0,25.0,25.0,25.0,25.0,years,
CCGT,FOM,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,%/year,[ ]
CCGT,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,el)",
CCGT,investment,775.0,775.0,775.0,775.0,775.0,775.0,775.0,775.0,EUR/(kWel),
CCGT,lifetime,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,years,
CHP Biogas,FOM,4.0,4.01,4.0,4.0,4.0,3.99,3.99,3.99,%/year,
CHP Biogas,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,el)",
CHP Biogas,investment,503.0,429.0,400.0,370.0,340.0,326.0,311.0,296.0,"EUR/kW,el",
CHP Biogas,lifetime,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,years,
CHP Biomass Heating,FOM,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,%/year,
CHP Biomass Heating,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,el)",
CHP Biomass Heating,investment,3560.0,3300.0,3145.0,2990.0,2870.0,2750.0,2645.0,2540.0,"EUR/kW,el",
CHP Biomass Heating,lifetime,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,years,
CHP Coal Heating,FOM,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,%/year,
CHP Coal Heating,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,el)",
CHP Coal Heating,investment,2030.0,2030.0,2030.0,2030.0,2030.0,2030.0,2030.0,2030.0,"EUR/kW,el",
CHP Coal Heating,lifetime,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,years,
CHP NG Heating,FOM,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,%/year,
CHP NG Heating,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,el)",
CHP NG Heating,investment,880.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,"EUR/kW,el",
CHP NG Heating,lifetime,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,years,
CHP Oil Heating,FOM,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,%/year,
CHP Oil Heating,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,el)",
CHP Oil Heating,investment,880.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,"EUR/kW,el",
CHP Oil Heating,lifetime,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,years,
CO2 Storage,FOM,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,%/year,[
CO2 Storage,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, EUR/ton,
CO2 Storage,investment,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0, EUR/ton,
CO2 Storage,lifetime,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,None,
CO2 direct air capture,FOM,4.0,4.0,4.0,4.0,4.01,4.02,3.99,4.0,%/year, 
CO2 direct air capture,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EUR/tCO2, 
CO2 direct air capture,investment,1000.0,730.0,493.0,335.0,274.4,234.0,210.6,195.0,EUR/tCO2 a, 
CO2 direct air capture,lifetime,20.0,20.0,30.0,25.0,30.0,30.0,30.0,30.0,years, 
"CSP (solar field, parabolic trough)",FOM,2.3,2.29,2.31,2.29,2.31,2.3,2.31,2.3,%/year,"[72,1"
"CSP (solar field, parabolic trough)",VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,th)",31]
"CSP (solar field, parabolic trough)",investment,438.3,344.5,303.6,274.7,251.1,230.2,211.9,196.0,"EUR/kW,th",
"CSP (solar field, parabolic trough)",lifetime,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,years,
Coal PP,FOM,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,%/year,[
Coal PP,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EUR/(kWh),]
Coal PP,investment,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,"EUR/(kW,el)",
Coal PP,lifetime,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,years,
DH Biomass Heating,FOM,3.73,3.73,3.73,3.7,3.7,3.7,3.7,3.7,%/year,Unnamed: 0 Unnamed: 1
DH Biomass Heating,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,th)", 
DH Biomass Heating,investment,75.0,75.0,75.0,100.0,100.0,100.0,100.0,100.0,"EUR/kW,th",
DH Biomass Heating,lifetime,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,years, 
DH Coal Heating,FOM,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,%/year,
DH Coal Heating,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,th)",
DH Coal Heating,investment,75.0,75.0,75.0,100.0,100.0,100.0,100.0,100.0,"EUR/kW,th",
DH Coal Heating,lifetime,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,years,
DH Geothermal heat,FOM,3.66,3.65,3.66,3.66,3.65,3.64,3.65,3.66,%/year, 
DH Geothermal heat,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,th)", 
DH Geothermal heat,investment,3936.0,3642.0,3384.0,3200.0,3180.0,3160.0,3150.0,3146.0,"EUR/kW,th", 
DH Geothermal heat,lifetime,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,years, 
DH Heat Pump,FOM,0.29,0.3,0.32,0.34,0.35,0.36,0.37,0.38,%/year,
DH Heat Pump,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,th)",
DH Heat Pump,investment,700.0,660.0,618.0,590.0,568.0,554.0,540.0,530.0,"EUR/kW,th",
DH Heat Pump,lifetime,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,years,
DH Natural gas Heating,FOM,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,%/year,
DH Natural gas Heating,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,th)",
DH Natural gas Heating,investment,75.0,75.0,75.0,100.0,100.0,100.0,100.0,100.0,"EUR/kW,th",
DH Natural gas Heating,lifetime,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,years,
DH Oil Heating,FOM,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,%/year,
DH Oil Heating,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,th)",
DH Oil Heating,investment,75.0,75.0,75.0,100.0,100.0,100.0,100.0,100.0,"EUR/kW,th",
DH Oil Heating,lifetime,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,years,
DH Rod Heating,FOM,1.47,1.47,1.47,1.96,1.96,1.96,1.96,1.96,%/year,
DH Rod Heating,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,th)",
DH Rod Heating,investment,100.0,100.0,100.0,75.0,75.0,75.0,75.0,75.0,"EUR/kW,th",
DH Rod Heating,lifetime,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,years,
District Heat Storage,FOM,1.6,1.5,1.67,1.67,1.6,1.5,1.5,1.5,%/year,  
District Heat Storage,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,th)",  
District Heat Storage,investment,50.0,40.0,30.0,30.0,25.0,20.0,20.0,20.0,"EUR/kWh,th",  
District Heat Storage,lifetime,25.0,25.0,25.0,25.0,30.0,30.0,30.0,30.0,years,  
Fischer- Tropsch unit,FOM,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,%/year, 
Fischer- Tropsch unit,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/kW,FTLi", 
Fischer- Tropsch unit,investment,947.0,947.0,947.0,947.0,947.0,852.3,852.3,852.3,"EUR/kW,FTLi", 
Fischer- Tropsch unit,lifetime,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,years, 
Gas  Storage interface,FOM,120.16,120.16,120.16,120.16,120.16,120.16,120.16,120.16,%/year,  
Gas  Storage interface,VOM,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,"EUR/(kWh,th)",  
Gas  Storage interface,investment,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,"EUR/kW,th",  
Gas  Storage interface,lifetime,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,years,  
Gas Storage,FOM,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,%/year,  
Gas Storage,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,el)",  
Gas Storage,investment,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,"EUR/kWh,el",  
Gas Storage,lifetime,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,years,  
Geothermal power,FOM,1.52,1.61,1.69,1.79,1.88,1.99,2.1,2.22,%/year,
Geothermal power,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,el)",]
Geothermal power,investment,5250.0,4970.0,4720.0,4470.0,4245.0,4020.0,3815.0,3610.0,"EUR/kW,el",
Geothermal power,lifetime,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,years,
Hot Heat Storage,FOM,1.5,1.51,1.5,1.49,1.5,1.52,1.5,1.49,%/year,  
Hot Heat Storage,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,th)",  
Hot Heat Storage,investment,50.8,41.8,32.7,26.8,23.3,21.0,19.3,17.5,"EUR/kWh,th",  
Hot Heat Storage,lifetime,25.0,25.0,25.0,25.0,30.0,30.0,30.0,30.0,years,  
Hydro Reservoir/ Dam,FOM,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,%/year,[ 123]
Hydro Reservoir/ Dam,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,el)",
Hydro Reservoir/ Dam,investment,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,"EUR/kW,el",
Hydro Reservoir/ Dam,lifetime,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,years,
Hydro Run-of- River,FOM,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,%/year,[ 123]
Hydro Run-of- River,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,el)",
Hydro Run-of- River,investment,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,"EUR/kW,el",
Hydro Run-of- River,lifetime,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,years,
Hydrogen Storage,FOM,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,%/year,[ 135  ]
Hydrogen Storage,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,th)",  
Hydrogen Storage,investment,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,"EUR/kWh,th",  
Hydrogen Storage,lifetime,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,years,  
Hydrogen Storage interface,FOM,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,%/year,[135]
Hydrogen Storage interface,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0," EUR/(kWh,th)",
Hydrogen Storage interface,investment,255.9,255.9,255.9,255.9,255.9,255.9,255.9,255.9,"EUR/kW,th",  
Hydrogen Storage interface,lifetime,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,None,
Local Biogas Heating,FOM,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,%/year, 
Local Biogas Heating,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,th)", 
Local Biogas Heating,investment,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,"EUR/kW,th", 
Local Biogas Heating,lifetime,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,years, 
Local Biomass Heating,FOM,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,%/year, 
Local Biomass Heating,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,th)", 
Local Biomass Heating,investment,675.0,675.0,675.0,750.0,750.0,750.0,750.0,675.0,"EUR/kW,th", 
Local Biomass Heating,lifetime,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,years, 
Local Coal Heating,FOM,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,%/year, 
Local Coal Heating,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,th)", 
Local Coal Heating,investment,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,"EUR/kW,th", 
Local Coal Heating,lifetime,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,years, 
Local Heat Pump,FOM,2.0,2.0,2.0,1.0,1.01,1.0,1.01,1.0,%/year, 
Local Heat Pump,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,th)", 
Local Heat Pump,investment,800.0,780.0,750.0,730.0,706.0,690.0,666.0,650.0,"EUR/kW,th", 
Local Heat Pump,lifetime,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,years, 
Local Natural gas heating,FOM,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,%/year, 
Local Natural gas heating,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,th)", 
Local Natural gas heating,investment,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,"EUR/kW,th", 
Local Natural gas heating,lifetime,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,years, 
Local Oil Heating,FOM,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,%/year, 
Local Oil Heating,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,th)", 
Local Oil Heating,investment,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,"EUR/kW,th", 
Local Oil Heating,lifetime,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,years, 
Local Rod Heating,FOM,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,%/year, 
Local Rod Heating,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,th)", 
Local Rod Heating,investment,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,"EUR/kW,th", 
Local Rod Heating,lifetime,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,years, 
Methanation,FOM,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,%/year,[ 
Methanation,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,CH", 
Methanation,investment,547.0,502.0,368.0,278.0,247.0,226.0,204.0,190.0,"EUR/kW,CH4", 
Methanation,lifetime,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,years, 
Multi Effect Distillation Cogeneration,Consumption,169.5,169.5,169.5,169.5,169.5,169.5,169.5,169.5, kWh /m3th,
Multi Effect Distillation Cogeneration,FOM,2.87,2.87,2.87,2.87,2.87,2.87,2.87,3.2,%/year,
Multi Effect Distillation Cogeneration,investment,2150.0,2150.0,2150.0,2150.0,2150.0,2150.0,2150.0,2150.0, EUR/(m3/day),
Multi Effect Distillation Cogeneration,lifetime,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,None,
Multi Effect Distillation Standalone,Consumption,69.5,52.5,45.5,39.5,33.5,29.5,29.5,29.5, kWh th/m  3,
Multi Effect Distillation Standalone,FOM,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,%/year,[ 137
Multi Effect Distillation Standalone,investment,1438.0,1200.0,1044.0,906.3,787.5,687.5,600.0,518.8, EUR/(m3/day),
Multi Effect Distillation Standalone,lifetime,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,None,
Multi Stage Flash Cogeneration,Consumption,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0, kWh th/m  3,
Multi Stage Flash Cogeneration,FOM,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,%/year,
Multi Stage Flash Cogeneration,investment,3069.0,3069.0,3069.0,3069.0,3069.0,3069.0,3069.0,3069.0, EUR/(m3/day),
Multi Stage Flash Cogeneration,lifetime,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,None,
Multi Stage Flash Standalone,Consumption,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5, kWhth/m3,
Multi Stage Flash Standalone,FOM,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,%/year,[ 137
Multi Stage Flash Standalone,investment,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0, EUR/(m3/day),
Multi Stage Flash Standalone,lifetime,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,None,
Nuclear PP,FOM,2.61,2.62,2.62,2.42,2.42,2.21,2.21,2.11,%/year,
Nuclear PP,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,el)",
Nuclear PP,investment,6210.0,6003.0,6003.0,5658.0,5658.0,5244.0,5244.0,5175.0,EUR/(kWel),
Nuclear PP,lifetime,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,years,]
OCGT,FOM,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,%/year,[ ]
OCGT,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,el)",
OCGT,investment,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,EUR/(kWel),
OCGT,lifetime,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,years,
PHES interface,FOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,%/year,  
PHES interface,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,el)",  
PHES interface,investment,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,"EUR/kW,el",  
PHES interface,lifetime,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,years,  
PV optimally tilted,FOM,1.5,2.28,2.53,2.72,2.85,2.93,2.96,3.01,%/year,[ 120]
PV optimally tilted,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,el)",
PV optimally tilted,investment,1000.0,580.0,466.0,390.0,337.0,300.0,270.0,246.0,"EUR/kW,el",
PV optimally tilted,lifetime,30.0,30.0,35.0,35.0,35.0,40.0,40.0,40.0,years,
PV rooftop - commercial,FOM,1.47,1.94,2.13,2.28,2.36,2.42,2.45,2.47,%/year,
PV rooftop - commercial,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,el)",]
PV rooftop - commercial,investment,1360.0,907.0,737.0,623.0,542.0,484.0,437.0,397.0,"EUR/kW,el",
PV rooftop - commercial,lifetime,30.0,30.0,35.0,35.0,35.0,40.0,40.0,40.0,years,
PV rooftop - industrial,FOM,1.47,2.58,2.86,3.09,3.22,3.31,3.36,3.39,%/year,[ 120]
PV rooftop - industrial,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,el)",
PV rooftop - industrial,investment,1360.0,682.0,548.0,459.0,397.0,353.0,318.0,289.0,"EUR/kW,el",
PV rooftop - industrial,lifetime,30.0,30.0,35.0,35.0,35.0,40.0,40.0,40.0,years,
PV rooftop - residential,FOM,1.47,1.51,1.63,1.72,1.77,1.8,1.82,1.82,%/year,[ 120]
PV rooftop - residential,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,el)",
PV rooftop - residential,investment,1360.0,1169.0,966.0,826.0,725.0,650.0,589.0,537.0,"EUR/kW,el",
PV rooftop - residential,lifetime,30.0,30.0,35.0,35.0,35.0,40.0,40.0,40.0,years,
PV single-axis tracking,FOM,1.5,2.35,2.53,2.8,2.96,3.03,3.03,2.95,%/year,"[120,"
PV single-axis tracking,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,el)",]
PV single-axis tracking,investment,1150.0,638.0,513.0,429.0,371.0,330.0,297.0,271.0,"EUR/kW,el",
PV single-axis tracking,lifetime,30.0,30.0,35.0,35.0,35.0,40.0,40.0,40.0,years,
Residential Solar Heat Collectors - hot water,FOM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,%/year,
Residential Solar Heat Collectors - hot water,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,th)",
Residential Solar Heat Collectors - hot water,investment,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,"EUR/kW,th",
Residential Solar Heat Collectors - hot water,lifetime,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,years,
Residential Solar Heat Collectors - space heating,FOM,1.15,1.22,1.26,1.29,1.38,1.48,1.59,1.73,%/year,
Residential Solar Heat Collectors - space heating,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,th)",
Residential Solar Heat Collectors - space heating,investment,1286.0,1214.0,1179.0,1143.0,1071.0,1000.0,929.0,857.0,"EUR/kW,th",
Residential Solar Heat Collectors - space heating,lifetime,20.0,25.0,25.0,30.0,30.0,30.0,30.0,30.0,years,
Reverse Osmosis Seawater Desalination,Consumption,4.1,3.6,3.35,3.15,3.0,2.85,2.7,2.6, kWh /m3th,
Reverse Osmosis Seawater Desalination,FOM,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,%/year,
Reverse Osmosis Seawater Desalination,investment,1150.0,960.0,835.0,725.0,630.0,550.0,480.0,415.0, EUR/(m3/day),
Reverse Osmosis Seawater Desalination,lifetime,25.0,25.0,30.0,30.0,30.0,30.0,30.0,30.0,None,
Steam turbine (CSP),FOM,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,%/year,
Steam turbine (CSP),VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,el)",
Steam turbine (CSP),investment,760.0,740.0,720.0,700.0,670.0,640.0,615.0,600.0,EUR/(kWel),Unnamed: 0
