technology,parameter,year,value,unit,currency_year,source,further_description
methane (g) pipeline compressors,investment,2040,114.631578947368,EUR/MW_CH4/km,2020,Calculated based on Guidehouse values for H2 pipelines.,Assume same costs as for hydrogen pipeline and consider mentioned 19GW capacitiy of such a pipeline (6.7e6 EUR/MWel for compressors times energy demand of 330 MWel/1000km of 19 GW_CH4 pipeline)
methane (g) pipeline compressors,lifetime,2040,15,years,2020,"Guidehouse 2020: European Hydrogen Backbone report, https://guidehouse.com/-/media/www/site/downloads/energy/2020/gh_european-hydrogen-backbone_report.pdf (table 3, table 5)","Due to lack of numbers, use comparable H2 pipeline assumptions."
methane (g) pipeline compressors,FOM,2040,1.7,%/year,2020,"Guidehouse 2020: European Hydrogen Backbone report, https://guidehouse.com/-/media/www/site/downloads/energy/2020/gh_european-hydrogen-backbone_report.pdf (table 3, table 5)","Due to lack of numbers, use comparable H2 pipeline assumptions."
H2 (l) storage tank,investment,2015,750,EUR/MWh_H2,2015,"Reuß et al 2017, Table 6 (https://doi.org/10.1016/j.apenergy.2017.05.050)","Assuming currency year and technology year here. 25 EUR/kg_H2, assuming LHV_H2=33.3333MWh/t"
H2 (l) storage tank,lifetime,2015,20,years,2015,"Reuß et al 2017, Table 6 (https://doi.org/10.1016/j.apenergy.2017.05.050)",Assuming currency year and technology year here. 25 EUR/kg_H2.
H2 (l) storage tank,FOM,2015,2,%/year,2015,"Reuß et al 2017, Table 6 (https://doi.org/10.1016/j.apenergy.2017.05.050)",Assuming currency year and technology year here. 25 EUR/kg_H2.
H2 liquefaction,investment,2015,482345.626790979,EUR/MW_H2,2015,"Reuß et al 2017: https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 9 and equation in sec 3.0 for a 2 GW plant.",Assuming H2 LHV 33.3333 MWh/t
H2 liquefaction,lifetime,2015,20,years,2015,"Reuß et al 2017: https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 9 and equation in sec 3.0 for a 2 GW plant.",
H2 liquefaction,FOM,2015,8,%/year,2015,"Reuß et al 2017: https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 9 and equation in sec 3.0 for a 2 GW plant.",
H2 evaporation,investment,2015,4320,EUR/MW_H2,2015,"Reuß et al 2017: https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 9 and equation in sec 3.0 for a 0.9 MW plant.",Assuming H2 LHV 33.3333 MWh/t
H2 evaporation,lifetime,2015,10,years,2015,"Reuß et al 2017: https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 9 and equation in sec 3.0 for a 0.9 MW plant.",
H2 evaporation,FOM,2015,3,%/year,2015,"Reuß et al 2017: https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 9 and equation in sec 3.0 for a 0.9 MW plant.",
H2 (l) transport ship,investment,2030,3.91E+08,EUR,2019,"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019.",
H2 (l) transport ship,FOM,2030,4,%/year,2019,"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019.",
H2 (l) transport ship,lifetime,2030,20,years,2019,"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019.",
H2 (l) transport ship,capacity,2030,1.10E+04,t_H2,2019,"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019.",
